number,value,params_algorithm,params_contamination,params_leaf_size,params_n_neighbors,user_attrs_MCC,user_attrs_accuracy,user_attrs_auc,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_score,state,duration
0,0.8296295420876243,auto,0.14907884894416698,116,22,0.7270190565840986,0.8683302967204581,0.8748006706408346,0.8262468694096601,0.766373748904877,0.8962680079483358,0.8296295420876243,COMPLETE,0 days 00:00:02.176113
1,0.7506908826297741,ball_tree,0.14453378978124864,84,44,0.6137839671764164,0.823138990109318,0.8089468703427719,0.7505811819405359,0.7396310585965759,0.7618604073522106,0.7506908826297741,COMPLETE,0 days 00:00:03.470546
2,0.6980814306440019,brute,0.06780602616231217,46,13,0.5737984360676128,0.8121312684365781,0.7583147292598112,0.6831293786240831,0.8313521214549664,0.5797627918529558,0.6980814306440019,COMPLETE,0 days 00:00:02.968399
