number,value,params_criterion,params_max_depth,params_min_samples_split,user_attrs_MCC,user_attrs_accuracy,user_attrs_auc,user_attrs_f1,user_attrs_precision,user_attrs_recall,state,duration
0,0.9728949762321294,gini,14,10,0.9458842928978701,0.9752653026100173,0.9950996385853987,0.9728949762321294,0.9712710578398432,0.9746211494456443,COMPLETE,0 days 00:00:11.793791
1,0.9622143036104568,gini,9,2,0.9248671911929893,0.9659440252368563,0.9907367646524399,0.9622143036104568,0.9666294409977867,0.958279975205065,COMPLETE,0 days 00:00:10.236396
2,0.9272878791469411,gini,5,10,0.8547733657872166,0.9334876868175078,0.967896165194937,0.9272878791469411,0.924831755509514,0.9299572150468197,COMPLETE,0 days 00:00:07.181252
