number,value,params_contamination,params_support_fraction,user_attrs_MCC,user_attrs_accuracy,user_attrs_auc,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_score,state,duration
0,0.5851545261984487,0.04370861069626263,0.9556428757689246,0.4500038284892011,0.7599015269824744,0.6735771112767015,0.52974787060048,0.8385448187747966,0.38717088922006954,0.5851545261984487,COMPLETE,0 days 00:00:00.474338
1,0.5679567233643755,0.07587945476302646,0.6387926357773329,0.41389399910072705,0.7482756376887038,0.6710795081967214,0.5352315732564425,0.7536795804432415,0.4149590163934426,0.5679567233643755,COMPLETE,0 days 00:00:00.439445
2,0.14588675951707522,0.02404167763981929,0.2403950683025824,0.0023766679090273823,0.6426015096304009,0.5004120715350223,0.05304445274561076,0.3559583494022368,0.028657476403378044,0.14588675951707522,COMPLETE,0 days 00:00:00.427920
