number,value,params_contamination,params_max_features,params_max_samples,params_n_estimators,user_attrs_MCC,user_attrs_accuracy,user_attrs_auc,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_score,state,duration
0,0.7668319534073617,0.3686770314875885,0.6387926357773329,0.9556428757689246,281,0.5897688801159946,0.7535029498525073,0.805299267262792,0.7347005474303456,0.5886467782661554,0.9771485345255837,0.7668319534073617,COMPLETE,0 days 00:00:01.763011
1,0.48907732984030655,0.03846096996241773,0.8795585311974417,0.2403950683025824,204,0.3438812840464527,0.7206533055700156,0.6150943740685544,0.39845866417561887,0.8039012438748586,0.2648720814704421,0.48907732984030655,COMPLETE,0 days 00:00:01.195228
2,0.437829444103585,0.020086402204943198,0.9729188669457949,0.737265320016441,360,0.2916705523642727,0.7011539128925907,0.5799265772478887,0.2935083581171162,0.8422601530311948,0.1777198211624441,0.437829444103585,COMPLETE,0 days 00:00:02.394044
