model,metric,mean,std,ci95_low,ci95_high,n
Random Forest,accuracy,0.9850177314578836,0.0011579468810980441,0.9746139915021179,0.9954214714136493,2
Random Forest,precision,0.9864804214387354,0.0011664554934943398,0.9760002346336363,0.9969606082438345,2
Random Forest,recall,0.980571003834332,0.0013880368830876723,0.9680999872303908,0.9930420204382733,2
Random Forest,f1_score,0.9834214117087642,0.0012852397608322083,0.9718739906044134,0.994968832813115,2
Random Forest,auc,0.9965608463472944,0.00013412138449470922,0.9953558135175785,0.9977658791770102,2
Random Forest,MCC,0.9670333550479262,0.0025558941660961424,0.9440695570597943,0.9899971530360581,2
Random Forest,TP,31108.0,69.29646455628166,30485.39596792744,31730.60403207256,2
Random Forest,TN,59719.5,37.476659402887016,59382.78557449137,60056.21442550863,2
Random Forest,FP,280.5,37.476659402887016,-56.21442550862935,617.2144255086293,2
Random Forest,FN,1101.0,69.29646455628166,478.39596792744,1723.6040320725601,2
Random Forest,train_time,14.048306584358215,0.2645721210801041,11.671220387923533,16.425392780792897,2
Random Forest,predict_time,0.15257227420806885,0.0024831237268678327,0.13026229267607725,0.17488225574006044,2
Decision Tree,accuracy,0.9768189656107322,0.003274459061118272,0.9473991181861502,1.0062388130353144,2
Decision Tree,precision,0.9735599888379328,0.004632131858136941,0.9319419352989173,1.0151780423769483,2
Decision Tree,recall,0.9756119906961822,0.0023686770924492687,0.9543302713778893,0.9968937100144751,2
Decision Tree,f1_score,0.9745631139375548,0.003531826438879465,0.9428309123669987,1.006295315508111,2
Decision Tree,auc,0.995431016175603,0.0004181122755732713,0.9916744264231846,0.9991876059280215,2
Decision Tree,MCC,0.949168393886293,0.007005728747590161,0.8862244184066539,1.0121123693659322,2
Decision Tree,TP,31294.5,20.506096654409877,31110.260031325466,31478.739968674534,2
Decision Tree,TN,58777.0,322.44069222106566,55879.98532015217,61674.01467984783,2
Decision Tree,FP,1223.0,322.44069222106566,-1674.01467984783,4120.01467984783,2
Decision Tree,FN,914.5,20.506096654409877,730.260031325467,1098.739968674533,2
Decision Tree,train_time,1.4243381023406982,0.06930020854512858,0.8017004318629605,2.046975772818436,2
Decision Tree,predict_time,0.009835958480834961,0.0004373157001490365,0.005906832804007869,0.013765084157662054,2
Naive Bayes,accuracy,0.35625047446561614,0.00017637601500169873,0.35466579884321464,0.35783515008801764,2
Naive Bayes,precision,0.6531160769135568,0.00035941632024822246,0.6498868493965096,0.6563453044306039,2
Naive Bayes,recall,0.505107411101452,0.00012536021094995586,0.5039810942929586,0.5062337279099454,2
Naive Bayes,f1_score,0.271171088990672,0.0003164314434196632,0.26832806526920044,0.27401411271214354,2
Naive Bayes,auc,0.7030137327041095,0.0003826127738722062,0.6995760933200421,0.7064513720881769,2
Naive Bayes,MCC,0.05592695424811152,0.0006207731864184076,0.05034952845386014,0.061504380042362895,2
Naive Bayes,TP,32177.0,1.4142135623730951,32164.293795263824,32189.706204736176,2
Naive Bayes,TN,672.5,17.67766952966369,513.6724407978163,831.3275592021837,2
Naive Bayes,FP,59327.5,17.67766952966369,59168.67244079782,59486.32755920218,2
Naive Bayes,FN,32.0,1.4142135623730951,19.293795263825306,44.7062047361747,2
Naive Bayes,train_time,0.08351755142211914,0.006681792775523096,0.023484025178724798,0.14355107766551348,2
Naive Bayes,predict_time,0.017403721809387207,0.001464855866844633,0.00424251401989199,0.030564929598882424,2
Isolation Forest,accuracy,0.7558698174798555,0.0021931974039340746,0.7361647206099944,0.7755749143497166,2
Isolation Forest,precision,0.5905878059398575,0.0016736660820250813,0.5755505128011061,0.6056250990786088,2
Isolation Forest,recall,0.9814803315843398,0.005115212518751498,0.9355219705124541,1.0274386926562253,2
Isolation Forest,f1_score,0.7374361421343192,0.0027485707591885867,0.7127412136402734,0.7621310706283649,2
Isolation Forest,auc,0.8081193324588365,0.0028699117543998123,0.7823341983769884,0.8339044665406846,2
Isolation Forest,MCC,0.595352412743618,0.005816915633036981,0.5430894993245173,0.6476153261627188,2
Isolation Forest,TP,31612.5,164.75588001646557,30132.22714823565,33092.772851764355,2
Isolation Forest,TN,38085.5,37.476659402887016,37748.78557449137,38422.21442550863,2
Isolation Forest,FP,21914.5,37.476659402887016,21577.785574491372,22251.214425508628,2
Isolation Forest,FN,596.5,164.75588001646557,-883.7728517643518,2076.772851764352,2
Isolation Forest,train_time,0.6477721929550171,0.027769884134251903,0.3982696830812178,0.8972747028288164,2
Isolation Forest,predict_time,1.1615769863128662,0.007147768332659541,1.097356835793932,1.2257971368318004,2
One-Class SVM,accuracy,0.696222711448991,0.004831169106567959,0.652816379183214,0.7396290437147679,2
One-Class SVM,precision,0.5770254035074411,0.009423407240791801,0.49235944859117564,0.6616913584237066,2
One-Class SVM,recall,0.488621192834301,0.0,0.488621192834301,0.488621192834301,2
One-Class SVM,f1_score,0.5291388473058233,0.003962535180545103,0.49353688122524475,0.5647408133864018,2
One-Class SVM,auc,0.6481439297504838,0.003712310601229437,0.6147901423180248,0.6814977171829429,2
One-Class SVM,MCC,0.3095216489293714,0.009221416214892954,0.22667051137748895,0.39237278648125384,2
One-Class SVM,TP,15738.0,0.0,15738.0,15738.0,2
One-Class SVM,TN,48460.0,445.47727214752496,44457.54550810497,52462.45449189503,2
One-Class SVM,FP,11540.0,445.47727214752496,7537.545508104971,15542.454491895029,2
One-Class SVM,FN,16471.0,0.0,16471.0,16471.0,2
One-Class SVM,train_time,1.4366044998168945,0.01625384783452926,1.2905694709987552,1.5826395286350339,2
One-Class SVM,predict_time,19.444937467575073,0.03748608141516532,19.108138388644768,19.78173654650538,2
Local Outlier Factor,accuracy,0.8616404038651324,0.009647001168353117,0.7749655372137877,0.9483152705164771,2
Local Outlier Factor,precision,0.7635082256509642,0.0027318457671969207,0.7389635652480407,0.7880528860538877,2
Local Outlier Factor,recall,0.8747865503430718,0.03407214518928004,0.5686604714436476,1.180912629242496,2
Local Outlier Factor,f1_score,0.8152412361410388,0.01636101110445416,0.6682433835428907,0.962239088739187,2
Local Outlier Factor,auc,0.8646849418382025,0.015303660980732856,0.7271870031903056,1.0021828804860995,2
Local Outlier Factor,MCC,0.709818509577528,0.025609997448943364,0.4797218116409415,0.9399152075141145,2
Local Outlier Factor,TP,28176.0,1097.4297244015218,18315.98512472844,38036.01487527156,2
Local Outlier Factor,TN,51275.0,207.88939366884497,49407.187903782324,53142.812096217676,2
Local Outlier Factor,FP,8725.0,207.88939366884497,6857.18790378232,10592.81209621768,2
Local Outlier Factor,FN,4033.0,1097.4297244015218,-5827.014875271563,13893.014875271563,2
Local Outlier Factor,train_time,0.2400270700454712,0.01858220833366509,0.07307255212838851,0.4069815879625539,2
Local Outlier Factor,predict_time,1.7806265354156494,0.08322788751664457,1.0328536341494023,2.5283994366818963,2
Elliptic Envelope,accuracy,0.7625502933553123,0.003297464628292434,0.7329237491104168,0.7921768376002079,2
Elliptic Envelope,precision,0.8402789500841719,0.0024425682706559243,0.8183333448695257,0.862224555298818,2
Elliptic Envelope,recall,0.3953553354652426,0.009966980615936332,0.3058055675397664,0.4849051033907188,2
Elliptic Envelope,f1_score,0.5376846381592846,0.009718918573769903,0.45036361925651697,0.6250056570620521,2
Elliptic Envelope,auc,0.6775110010659546,0.004842068951730853,0.634006737576834,0.7210152645550753,2
Elliptic Envelope,MCC,0.4567085663076583,0.008366973045588776,0.38153429605040634,0.5318828365649103,2
Elliptic Envelope,TP,12734.0,321.02647865869255,9849.691524888345,15618.308475111655,2
Elliptic Envelope,TN,57580.0,16.97056274847714,57427.5255431659,57732.4744568341,2
Elliptic Envelope,FP,2420.0,16.97056274847714,2267.525543165904,2572.474456834096,2
Elliptic Envelope,FN,19475.0,321.02647865869255,16590.691524888345,22359.308475111655,2
Elliptic Envelope,train_time,0.40348291397094727,0.059846164661952916,-0.13421354227968574,0.9411793702215803,2
Elliptic Envelope,predict_time,0.009624719619750977,0.000881374896059816,0.0017058803605173485,0.017543558878984605,2
